   0.100057202577590942E+001   0.707711020842326199E+001   0.268716998100280768E+000   0.112186133861541748E+000  -0.936247706413269043E-001   0.139448797726287199E+001   0.309583790902746014E+000   0.596666591167449933E+001   0.914350015587582732E+001   0.625541627407073975E+000  -0.999045761363908613E+090  -0.690775511231546968E+001    1
   0.119006839394569397E+001   0.158174134117626100E+002   0.313138295412063616E+000   0.806647241115570068E+000  -0.169227480888366699E+000   0.101924849794841843E+001   0.146661364654973325E+001   0.548475370407104457E+001   0.826606750699819415E+001   0.154930531978607178E+000  -0.998622249674376116E+090  -0.690875511231550643E+001    1
   0.175019651651382446E+001   0.140132558022879703E+002   0.378722865581512469E+000   0.567311823368072510E+000   0.748694777488708496E+000   0.132038547845020249E+001   0.974891957041189583E+000   0.561081960201263374E+001   0.104633466690906776E+002   0.111623108386993408E+000  -0.997484086167695838E+090  -0.690975511231548190E+001    1
   0.161578896641731262E+001   0.877372918002955515E+001   0.386276330947875945E+000   0.905278623104095459E+000   0.161679267883300781E+000   0.123129333513934291E+001   0.454516656157785415E+000   0.641073744297027570E+001   0.760403110975401564E+001   0.108476281166076660E-001  -0.994067530390745701E+090  -0.691075511231549733E+001    1
   0.226877784729003906E+001   0.112282867276840683E+002   0.270163717269897463E+000   0.318487703800201416E+000   0.740542829036712646E+000   0.139815509769279989E+001   0.577546500435102250E+000   0.544713554382324183E+001   0.109295820022026930E+002   0.955061674118041992E+000  -0.993901547509289997E+090  -0.691175511231548434E+001    1
   0.116432920098304749E+001   0.930721491740616003E+001   0.243281835317611689E+000   0.204768598079681396E+000   0.268231391906738281E+000   0.614486308176343310E+000   0.140979696439568536E+001   0.632235293388366681E+001   0.112285191750308631E+002   0.477757215499877930E+000  -0.992053989006256447E+090  -0.691275511231548823E+001    1
   0.139321103692054749E+001   0.111436314976352602E+002   0.315965011119842543E+000   0.691110372543334961E+000  -0.245307445526123047E+000   0.669987806997217050E+000   0.237963835351536868E+000   0.562554664611816424E+001   0.983175407467519413E+001   0.515681385993957520E+000  -0.989848361747517476E+090  -0.691375511231549389E+001    1
   0.215215030312538147E+001   0.105988523274802589E+002   0.356019307374954186E+000   0.893984138965606689E+000   0.738082230091094971E+000   0.102140663897506756E+001   0.315931176753841025E+000   0.578982429504394513E+001   0.847940477742064047E+001   0.225882351398468018E+000  -0.989836834496556668E+090  -0.691475511231548623E+001    1
   0.163566565513610840E+001   0.140605094670397861E+002   0.365863926410675000E+000   0.139873921871185303E+000  -0.109843969345092773E+000   0.912267585065852704E+000   0.913880245770928301E+000   0.604721400737762416E+001   0.750297127636039107E+001   0.150621116161346436E+000  -0.987874536512857063E+090  -0.691575511231550344E+001    1
   0.239450854063034058E+001   0.141606524788019090E+002   0.323193060159683188E+000   0.365039646625518799E+000  -0.714750885963439941E-001   0.611026671538313471E+000   0.149048303774979618E+001   0.602429792881011927E+001   0.116245656332542087E+002   0.740777850151062012E-001  -0.987090010736269703E+090  -0.691675511231552509E+001    1
   0.105713158845901489E+001   0.121504042034180841E+002   0.318387410640716517E+000   0.338646769523620605E-001   0.162045836448669434E+000   0.156877650383393097E+001   0.821191450075773655E+000   0.570743248462676966E+001   0.106105524774493460E+002   0.699831902980804443E+000  -0.986574123896679987E+090  -0.691775511231552631E+001    1
