READ SERR 1 2
@crab_ratio_SA70_d51.pco
!
0.254999995 4.99999523E-3 1.53955722 7.3992E-3
0.264999986 5.00001013E-3 1.4829464 6.62451377E-3
0.275000006 4.99999523E-3 1.41396081 5.95165463E-3
0.284999996 4.99999523E-3 1.35958767 5.38363401E-3
0.295000017 5.00001013E-3 1.30786002 4.87334607E-3
0.305000007 4.99999523E-3 1.25664604 4.40182118E-3
0.314999998 4.99999523E-3 1.19681144 3.93746421E-3
0.324999988 5.00001013E-3 1.16009402 3.52797587E-3
0.335000008 4.99999523E-3 1.1267401 3.1536303E-3
0.344999999 4.99999523E-3 1.09006178 2.80768704E-3
0.355000019 5.00001013E-3 1.06173563 2.50422279E-3
0.36500001 4.99999523E-3 1.04649019 2.24691746E-3
0.375 4.99999523E-3 1.02704692 2.01350334E-3
0.38499999 4.99999523E-3 1.01852918 1.81751931E-3
0.394999981 5.00001013E-3 1.00596976 1.64136034E-3
0.405000001 4.99999523E-3 1.00494599 1.49539625E-3
0.414999992 4.99999523E-3 1.00092268 1.36593368E-3
0.425000012 5.00001013E-3 0.997715533 1.25410478E-3
0.435000002 4.99999523E-3 0.997643054 1.15982676E-3
0.444999993 4.99999523E-3 0.997427404 1.07956852E-3
0.454999983 5.00001013E-3 0.999136031 1.01327E-3
0.465000004 4.99999523E-3 1.00168562 9.5922983E-4
0.474999994 4.99999523E-3 1.00393748 9.15910583E-4
0.485000014 5.00001013E-3 1.00438094 8.82059103E-4
0.495000005 4.99999523E-3 1.0033052 8.57137376E-4
0.504999995 4.99999523E-3 1.00240862 8.41179106E-4
0.514999986 4.99999523E-3 0.998532355 8.31745216E-4
0.524999976 4.99999523E-3 0.994031847 8.28214921E-4
0.534999967 5.00002503E-3 0.986227512 8.27208569E-4
0.545000017 4.99999523E-3 0.975379884 8.25895462E-4
0.555000007 4.99999523E-3 0.966954589 8.23621871E-4
0.564999998 4.99999523E-3 0.961840034 8.18207569E-4
0.574999988 4.99999523E-3 0.955029428 8.06281809E-4
0.584999979 4.99999523E-3 0.956204414 7.92159874E-4
0.595000029 5.00002503E-3 0.958998263 7.74619577E-4
0.605000019 4.99999523E-3 0.964695334 7.55952729E-4
0.61500001 4.99999523E-3 0.973277807 7.37864873E-4
0.625 4.99999523E-3 0.980267704 7.19764619E-4
0.63499999 4.99999523E-3 0.989101946 7.03813566E-4
0.644999981 4.99999523E-3 0.997291267 6.8945816E-4
0.654999971 5.00002503E-3 1.00496423 6.76909985E-4
0.665000021 4.99999523E-3 1.01460338 6.67032495E-4
0.675000012 4.99999523E-3 1.02259135 6.58376026E-4
0.685000002 4.99999523E-3 1.02685022 6.50079339E-4
0.694999993 4.99999523E-3 1.03144181 6.43078994E-4
0.704999983 4.99999523E-3 1.03476369 6.36458746E-4
0.715000033 5.00002503E-3 1.03453851 6.29145885E-4
0.725000024 4.99999523E-3 1.03507912 6.22154155E-4
0.735000014 4.99999523E-3 1.03451896 6.14766032E-4
0.745000005 4.99999523E-3 1.03362584 6.07253925E-4
0.754999995 4.99999523E-3 1.03262913 5.99769875E-4
0.764999986 4.99999523E-3 1.03018749 5.9211941E-4
0.774999976 4.99999523E-3 1.02831221 5.85050264E-4
0.784999967 5.00002503E-3 1.02551544 5.78336243E-4
0.795000017 4.99999523E-3 1.02425528 5.72755351E-4
0.805000007 4.99999523E-3 1.02229488 5.67778538E-4
0.814999998 4.99999523E-3 1.01987994 5.63529378E-4
0.824999988 4.99999523E-3 1.01540279 5.5957248E-4
0.834999979 4.99999523E-3 1.01074064 5.56429673E-4
0.845000029 5.00002503E-3 1.00581264 5.53955964E-4
0.855000019 4.99999523E-3 1.00104761 5.52156416E-4
0.86500001 4.99999523E-3 0.996591389 5.50889119E-4
0.875 4.99999523E-3 0.99093914 5.49494871E-4
0.88499999 4.99999523E-3 0.98837781 5.4897723E-4
0.894999981 4.99999523E-3 0.985683262 5.48250624E-4
0.904999971 5.00002503E-3 0.984191179 5.47606382E-4
0.915000021 4.99999523E-3 0.983124077 5.4678024E-4
0.925000012 4.99999523E-3 0.982834458 5.45919407E-4
0.935000002 4.99999523E-3 0.9833709 5.45080169E-4
0.944999993 4.99999523E-3 0.983177781 5.43959963E-4
0.954999983 4.99999523E-3 0.986178637 5.43702452E-4
0.965000033 5.00002503E-3 0.98725456 5.429468E-4
0.975000024 4.99999523E-3 0.987709701 5.42121241E-4
0.985000014 4.99999523E-3 0.989074588 5.41661226E-4
0.995000005 4.99999523E-3 0.98963815 5.41102316E-4
1.005 4.99999523E-3 0.989895523 5.40602428E-4
1.01499999 4.99999523E-3 0.992218912 5.40787412E-4
1.02499998 4.99999523E-3 0.991188049 5.40185021E-4
1.03499997 4.99999523E-3 0.993088901 5.40504931E-4
1.04499996 4.99999523E-3 0.991649389 5.40023495E-4
1.05499995 4.99999523E-3 0.990875065 5.39840141E-4
1.06500006 5.00005484E-3 0.99128437 5.40090608E-4
1.07500005 4.99999523E-3 0.99134165 5.40338806E-4
1.08500004 4.99999523E-3 0.991245151 5.40648412E-4
1.09500003 4.99999523E-3 0.990188718 5.40801033E-4
1.10500002 4.99999523E-3 0.991256297 5.4162991E-4
1.11500001 4.99999523E-3 0.991048336 5.42211055E-4
1.125 4.99999523E-3 0.991424143 5.43045695E-4
1.13499999 4.99999523E-3 0.990329325 5.43558912E-4
1.14499998 4.99999523E-3 0.991366267 5.44752984E-4
1.15499997 4.99999523E-3 0.992023885 5.45937917E-4
1.16499996 4.99999523E-3 0.991760731 5.4695562E-4
1.17499995 4.99999523E-3 0.99170661 5.48110751E-4
1.18499994 5.00005484E-3 0.992051363 5.4946763E-4
1.19500005 4.99999523E-3 0.992401481 5.50895697E-4
1.20500004 4.99999523E-3 0.992893279 5.52447047E-4
1.21500003 4.99999523E-3 0.99311161 5.54015511E-4
1.22500002 4.99999523E-3 0.99340874 5.55677398E-4
1.23500001 4.99999523E-3 0.994418979 5.57621068E-4
1.245 4.99999523E-3 0.993934155 5.59253793E-4
1.255 4.99999523E-3 0.994564652 5.61298279E-4
1.26499999 4.99999523E-3 0.993494749 5.62973961E-4
1.27499998 4.99999523E-3 0.994174063 5.6524761E-4
1.28499997 4.99999523E-3 0.993754148 5.67324692E-4
1.29499996 4.99999523E-3 0.992489934 5.69252763E-4
1.30499995 4.99999523E-3 0.990818858 5.71134093E-4
1.31500006 5.00005484E-3 0.991289318 5.73675788E-4
1.32500005 4.99999523E-3 0.990577221 5.75904676E-4
1.33500004 4.99999523E-3 0.991186202 5.78508596E-4
1.34500003 4.99999523E-3 0.991354465 5.80949825E-4
1.35500002 4.99999523E-3 0.992525458 5.8364647E-4
1.36500001 4.99999523E-3 0.991921663 5.85790083E-4
