   0.255045378208160400E+001   0.828809295046293215E+001   0.334514737129211426E+000   0.647259712219238281E+000   0.305017140094796135E+000   0.115924142497700028E+000   0.587961207032203603E+001   0.120247195011443342E+002   0.826096832752227783E+000  -0.990495249574493409E+090  -0.690775511231546968E+001    1
   0.126395869255065918E+001   0.101064135563329032E+002   0.440527081489562988E+000  -0.365144014358520508E-001   0.154654166537344273E+001   0.146897471213126796E+001   0.599303233623504639E+001   0.650283450724495538E+001   0.116983741521835327E+001  -0.990495249574493409E+090  -0.690875511231550643E+001    1
   0.202874577045440674E+001   0.812126172160849613E+001   0.913981795310974121E-001  -0.122755408287048340E+000   0.567307163777110768E+000   0.805715568920786773E-001   0.670934861898422241E+001   0.959968056632868283E+001   0.427128106355667114E+001  -0.990495249574493409E+090  -0.690975511231548190E+001    1
   0.228671121597290039E+001   0.986944732380661982E+001   0.283021628856658936E+000  -0.168319642543792725E+000   0.234528604495734067E+000   0.104177351111601513E+001   0.537864381074905396E+001   0.104101945374574409E+002   0.262730717658996582E+000  -0.990495249574493409E+090  -0.691075511231549733E+001    1
   0.286378026008605957E+001   0.828125041015838548E+001   0.744972348213195801E+000  -0.159394741058349609E-001   0.136885320416786160E+001   0.699405256183977975E+000   0.518483597040176392E+001   0.116528579885760522E+002   0.429444640874862671E+001  -0.990495249574493409E+090  -0.691175511231548434E+001    1
   0.269529426097869873E+001   0.109234571431451997E+002   0.364216089248657227E+000  -0.206438302993774414E-001   0.110259760010512031E+001   0.143895589055876783E+001   0.552173207402229238E+001   0.961987268835924958E+001   0.524222850799560547E-001  -0.990495249574493409E+090  -0.691275511231548823E+001    1
   0.138166129589080811E+001   0.123244096861314389E+002   0.273154079914093018E+000  -0.198490023612976074E+000   0.125502969671646847E+001   0.112489349243138381E+001   0.625589838027954048E+001   0.945568762941651642E+001   0.125949740409851074E+001  -0.990495249574493409E+090  -0.691375511231549389E+001    1
   0.145047295093536377E+001   0.117959486160254379E+002   0.503114521503448486E+000  -0.143390178680419922E+000   0.126991142426529158E+001   0.145770106814029221E+001   0.541153565645217860E+001   0.870276612166944297E+001   0.281935989856719971E+001  -0.989576563755538799E+090  -0.691475511231548623E+001    1
   0.200609302520751953E+001   0.155379181913265221E+002   0.732485294342041016E+000   0.449146330356597900E+000   0.581370671331290834E+000   0.338693345080598840E+000   0.528410498499870229E+001   0.116889550130712312E+002   0.469623565673828125E+001  -0.989576563755538799E+090  -0.691575511231550344E+001    1
   0.101670289039611816E+001   0.102519875323807135E+002   0.906882941722869873E+000   0.234774351119995117E-001   0.746542752378991037E+000   0.461088826187133413E-001   0.578408671617507864E+001   0.898867216482176090E+001   0.219936817884445190E+001  -0.989576563755538799E+090  -0.691675511231552509E+001    1
